,track,artist,duration (ms),popularity,uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,labels
0,1999,Prince,379266,68,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,0.866,0.73,5,-8.201,0.0767,0.1369999999999999,0.0,0.0843,0.625,118.523,4,1
1,23,Blonde Redhead,318800,43,spotify:track:4HIwL9ii9CcXpTOTzMq0MP,0.381,0.8320000000000001,8,-5.069,0.0492,0.0189,0.196,0.153,0.166,120.255,4,0
2,9 Crimes,Damien Rice,217946,60,spotify:track:5GZEeowhvSieFDiR8fQ2im,0.346,0.139,0,-15.326,0.0321,0.913,7.730000000000001e-05,0.0934,0.116,136.168,4,0
3,99 Luftballons,Nena,233000,2,spotify:track:6HA97v4wEGQ5TUClRM0XLc,0.466,0.438,4,-12.858,0.0608,0.089,5.62e-06,0.113,0.5870000000000001,193.1,4,1
4,A Boy Brushed Red Living In Black And White,Underoath,268000,60,spotify:track:47IWLfIKOKhFnz1FUEUIkE,0.419,0.932,1,-3.604,0.106,0.00171,0.0,0.1369999999999999,0.445,169.88099999999997,4,2
5,A Burden to Bear,Emmanuelle Rimbaud,129410,27,spotify:track:67DOFCrkcQaLp5yhzF8Y8N,0.394,0.0475,6,-26.432,0.072,0.995,0.955,0.105,0.172,71.241,5,3
6,A La Plage,Ron Adelaar,141888,29,spotify:track:79NmiFAgcXUIVDGfCWDdWF,0.504,0.0584,5,-20.461,0.0516,0.994,0.956,0.115,0.5529999999999999,134.209,4,3
7,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,211173,1,spotify:track:4l2hnfUx0esSbITQa7iJt0,0.586,0.935,4,-9.386,0.0482,0.000155,0.277,0.159,0.58,114.997,4,1
8,A Place for My Head,Linkin Park,184640,68,spotify:track:5rAxhWcgFng3s570sGO2F8,0.603,0.908,11,-5.254,0.184,0.0144,0.0,0.6709999999999999,0.457,133.063,4,2
9,ATTACK,Thirty Seconds To Mars,189200,0,spotify:track:6QxTWEvzcJljVZaeTzuHF1,0.331,0.8759999999999999,5,-1.894,0.0603,0.00344,0.0008349999999999,0.732,0.299,175.009,4,2
10,Adagio For Strings,Lucas & Steve,197189,55,spotify:track:1RvDsjCBDTES3lPiEGNNMY,0.349,0.7929999999999999,10,-6.747999999999998,0.0677,0.000877,0.431,0.22,0.0398,127.139,4,2
11,Adjustments,Josie Mehlin,182000,52,spotify:track:6w0vhPaZBYjhrDobs3QE14,0.532,0.541,0,-11.932,0.0283,0.974,0.8640000000000001,0.228,0.329,136.063,4,3
12,Adrift,Cooper Sams,158117,53,spotify:track:3TNNGjgOQ7O8vwAlvlD9Fg,0.382,0.333,7,-15.573,0.0367,0.4970000000000001,0.918,0.106,0.0486,84.97399999999998,4,3
13,Afraid of Heights,Billy Talent,225680,38,spotify:track:0P44AUPRzaIAHNWquN0fGR,0.5429999999999999,0.991,9,-2.78,0.0668,0.000168,1.31e-05,0.374,0.7659999999999999,150.031,4,2
14,Africa,TOTO,295893,84,spotify:track:2374M0fQpWi3dLnB54qaLX,0.6709999999999999,0.373,9,-18.064,0.0323,0.257,7.950000000000001e-05,0.0481,0.732,92.717,4,1
15,After The Rain,Comet Blue,116625,24,spotify:track:2XBc2jWnvPqNO2LebVtLaY,0.456,0.0337,0,-26.87,0.0334,0.993,0.948,0.126,0.3,97.199,4,3
16,Afterlife,Avenged Sevenfold,351560,13,spotify:track:4QdwsME04RG25KPHcPYoox,0.4920000000000001,0.95,2,-4.195,0.076,0.000444,6.22e-05,0.22,0.391,110.027,4,2
17,Algo Rhythm,One Sentence. Supervisor,210626,0,spotify:track:0PqJ7LSknltqqMNqPDClNA,0.402,0.75,2,-7.358,0.0293,1.19e-05,0.959,0.122,0.58,149.941,4,0
18,Alison,Slowdive,231893,0,spotify:track:55CenVQ4alvDJ1PS8aYB0m,0.279,0.423,4,-12.06,0.038,0.00957,0.8370000000000001,0.128,0.291,101.571,4,0
19,Alive,Paris Blohm,180468,51,spotify:track:2rPJcL8gQauA2nBdRyNZZL,0.494,0.847,0,-3.996,0.0537,0.00248,0.0,0.0502,0.148,129.909,4,2
20,All I Want,Kodaline,306600,29,spotify:track:1XczdQt6RKNkEQfPqUsi3q,0.189,0.4270000000000001,0,-9.08,0.0449,0.113,0.0923,0.058,0.158,187.212,3,0
21,All Mirrors,Angel Olsen,282026,1,spotify:track:4ZQdynvfiayhdoq5lcuCQ1,0.429,0.6890000000000001,7,-7.38,0.0379,0.00299,0.00193,0.152,0.23,105.04,4,0
22,All These Things I Hate (Revolve Around Me),Bullet For My Valentine,225440,39,spotify:track:6hZkQjIQBY7HAj4nzLUvdx,0.488,0.879,6,-3.505,0.0514,0.0303,0.0,0.288,0.483,94.003,3,2
23,All in the Suit That You Wear,Stone Temple Pilots,219573,39,spotify:track:17Nk1aji6gd26vabky7fMi,0.429,0.982,2,-2.962,0.0617,1.94e-05,0.0185,0.312,0.583,122.881,4,2
